sheet_name,condition_number,voltage_V,duration_ms,duration_us,sample_index_in_sheet,signal_column,samz,samz_min_in_sheet,samz_max_in_sheet,hfo2_fraction,zro2_fraction,hfo2_percent,zro2_percent,x_in_Hf1_minus_x_ZrxO2,monoclinic_phase_fraction,orthorhombic_phase_fraction,tetragonal_phase_fraction,phase_fraction_sum,phase_fraction_sum_error,dominant_phase,dominant_phase_fraction
num1,1,716,10.1,10100.0,1,th:0.260_samz:-8647,-8647,-8647,-752,1.0,0.0,100.0,0.0,0.0,0.5430338313559845,0.3562623462380061,0.1007038224060094,1.0,0.0,monoclinic,0.5430338313559845
num1,1,716,10.1,10100.0,2,th:0.260_samz:-8121,-8121,-8647,-752,0.9333755541481951,0.06662444585180494,93.3375554148195,6.662444585180493,0.06662444585180494,0.5461210802557708,0.3754719983403944,0.0784069214038348,1.0,0.0,monoclinic,0.5461210802557708
num1,1,716,10.1,10100.0,3,th:0.260_samz:-7594,-7594,-8647,-752,0.866624445851805,0.13337555414819505,86.6624445851805,13.337555414819505,0.13337555414819505,0.5441593751980326,0.3850992857518903,0.07074133905007698,0.9999999999999999,1.1102230246251565e-16,monoclinic,0.5441593751980326
num1,1,716,10.1,10100.0,4,th:0.260_samz:-7068,-7068,-8647,-752,0.8,0.2,80.0,20.0,0.2,0.5105258269186331,0.3884945185658091,0.1009796545155577,0.9999999999999999,1.1102230246251565e-16,monoclinic,0.5105258269186331
num1,1,716,10.1,10100.0,5,th:0.260_samz:-6542,-6542,-8647,-752,0.733375554148195,0.26662444585180495,73.3375554148195,26.662444585180495,0.26662444585180495,0.4533451811835277,0.385581955654306,0.1610728631621662,0.9999999999999999,1.1102230246251565e-16,monoclinic,0.4533451811835277
num1,1,716,10.1,10100.0,6,th:0.260_samz:-6016,-6016,-8647,-752,0.6667511082963902,0.3332488917036099,66.67511082963901,33.32488917036099,0.3332488917036099,0.4185508621661526,0.3549902676519098,0.2264588701819376,1.0,0.0,monoclinic,0.4185508621661526
num1,1,716,10.1,10100.0,7,th:0.260_samz:-5489,-5489,-8647,-752,0.6,0.4,60.0,40.0,0.4,0.3859844212760338,0.3491987627869612,0.264816815937005,1.0,0.0,monoclinic,0.3859844212760338
num1,1,716,10.1,10100.0,8,th:0.260_samz:-4963,-4963,-8647,-752,0.533375554148195,0.46662444585180496,53.337555414819505,46.662444585180495,0.46662444585180496,0.3506237423810928,0.3684884910960515,0.2808877665228556,0.9999999999999998,2.220446049250313e-16,orthorhombic,0.3684884910960515
num1,1,716,10.1,10100.0,9,th:0.260_samz:-4436,-4436,-8647,-752,0.46662444585180496,0.533375554148195,46.662444585180495,53.337555414819505,0.533375554148195,0.2238152017328216,0.4152022728635367,0.3609825254036417,1.0,0.0,orthorhombic,0.4152022728635367
num1,1,716,10.1,10100.0,10,th:0.260_samz:-3910,-3910,-8647,-752,0.4,0.6,40.0,60.0,0.6,0.06666806868007594,0.4402876306959374,0.4930443006239868,1.0000000000000002,2.220446049250313e-16,tetragonal,0.4930443006239868
num1,1,716,10.1,10100.0,11,th:0.260_samz:-3383,-3383,-8647,-752,0.33324889170360983,0.6667511082963902,33.32488917036098,66.67511082963901,0.6667511082963902,0.01590141935998703,0.508716764605587,0.475381816034426,1.0,0.0,orthorhombic,0.508716764605587
num1,1,716,10.1,10100.0,12,th:0.260_samz:-2857,-2857,-8647,-752,0.2666244458518049,0.7333755541481951,26.662444585180488,73.3375554148195,0.7333755541481951,0.003759958064228236,0.5439215171066475,0.4523185248291243,1.0,0.0,orthorhombic,0.5439215171066475
num1,1,716,10.1,10100.0,13,th:0.260_samz:-2331,-2331,-8647,-752,0.19999999999999996,0.8,19.999999999999996,80.0,0.8,0.0006776589913776843,0.5226269105805831,0.4766954304280392,1.0,0.0,orthorhombic,0.5226269105805831
num1,1,716,10.1,10100.0,14,th:0.260_samz:-1804,-1804,-8647,-752,0.13324889170360987,0.8667511082963901,13.324889170360986,86.67511082963901,0.8667511082963901,0.0001174281797541649,0.4374890251532513,0.5623935466669947,1.0000000000000002,2.220446049250313e-16,tetragonal,0.5623935466669947
num1,1,716,10.1,10100.0,15,th:0.260_samz:-1278,-1278,-8647,-752,0.06662444585180494,0.9333755541481951,6.662444585180493,93.3375554148195,0.9333755541481951,1.876429382621854e-05,0.347711115891434,0.6522701198147397,1.0,0.0,tetragonal,0.6522701198147397
num1,1,716,10.1,10100.0,16,th:0.260_samz:-752,-752,-8647,-752,0.0,1.0,0.0,100.0,1.0,2.408688315218798e-12,0.2673873724190234,0.7326126275785679,1.0,0.0,tetragonal,0.7326126275785679
num2,2,716,7.6,7600.0,1,th:0.260_samz:-8247,-8247,-8247,-352,1.0,0.0,100.0,0.0,0.0,0.3004904744011452,0.6094773041168446,0.09003222148201015,1.0,0.0,orthorhombic,0.6094773041168446
num2,2,716,7.6,7600.0,2,th:0.260_samz:-7721,-7721,-8247,-352,0.9333755541481951,0.06662444585180494,93.3375554148195,6.662444585180493,0.06662444585180494,0.3299441376118027,0.5711630937433432,0.09889276864485418,1.0,0.0,orthorhombic,0.5711630937433432
num2,2,716,7.6,7600.0,3,th:0.260_samz:-7195,-7195,-8247,-352,0.8667511082963901,0.13324889170360987,86.67511082963901,13.324889170360986,0.13324889170360987,0.3496370248865154,0.5209759109275014,0.1293870641859833,1.0,0.0,orthorhombic,0.5209759109275014
num2,2,716,7.6,7600.0,4,th:0.260_samz:-6668,-6668,-8247,-352,0.8,0.2,80.0,20.0,0.2,0.3534528524380497,0.4690897836898152,0.1774573638721353,1.0000000000000002,2.220446049250313e-16,orthorhombic,0.4690897836898152
num2,2,716,7.6,7600.0,5,th:0.260_samz:-6142,-6142,-8247,-352,0.733375554148195,0.26662444585180495,73.3375554148195,26.662444585180495,0.26662444585180495,0.3688873585646824,0.3937391209457747,0.2373735204895428,1.0,0.0,orthorhombic,0.3937391209457747
num2,2,716,7.6,7600.0,6,th:0.260_samz:-5616,-5616,-8247,-352,0.6667511082963902,0.3332488917036099,66.67511082963901,33.32488917036099,0.3332488917036099,0.3754096099018879,0.3146076152446193,0.3099827748534927,0.9999999999999998,2.220446049250313e-16,monoclinic,0.3754096099018879
num2,2,716,7.6,7600.0,7,th:0.260_samz:-5090,-5090,-8247,-352,0.6001266624445851,0.3998733375554148,60.012666244458515,39.987333755541485,0.3998733375554148,0.3452631330722252,0.2857984221433222,0.3689384447844526,1.0,0.0,tetragonal,0.3689384447844526
num2,2,716,7.6,7600.0,8,th:0.260_samz:-4563,-4563,-8247,-352,0.533375554148195,0.46662444585180496,53.337555414819505,46.662444585180495,0.46662444585180496,0.3062011013692852,0.2764580565647864,0.4173408420659284,1.0,0.0,tetragonal,0.4173408420659284
