sheet_name,condition_number,voltage_V,duration_ms,duration_us,sample_index_in_sheet,signal_column,samz,samz_min_in_sheet,samz_max_in_sheet,hfo2_fraction,zro2_fraction,hfo2_percent,zro2_percent,x_in_Hf1_minus_x_ZrxO2,monoclinic_phase_fraction,orthorhombic_phase_fraction,tetragonal_phase_fraction,phase_fraction_sum,phase_fraction_sum_error,dominant_phase,dominant_phase_fraction
num1,1,716,10.1,10100.0,1,th:0.260_samz:-8647,-8647,-8647,-752,1.0,0.0,100.0,0.0,0.0,0.3919205846861455,0.5913215936776548,0.01675782163619962,1.0,0.0,orthorhombic,0.5913215936776548
num1,1,716,10.1,10100.0,2,th:0.260_samz:-8121,-8121,-8647,-752,0.9333755541481951,0.06662444585180494,93.3375554148195,6.662444585180493,0.06662444585180494,0.3799639574849307,0.6060223571006762,0.01401368541439323,1.0000000000000002,2.220446049250313e-16,orthorhombic,0.6060223571006762
num1,1,716,10.1,10100.0,3,th:0.260_samz:-7594,-7594,-8647,-752,0.866624445851805,0.13337555414819505,86.6624445851805,13.337555414819505,0.13337555414819505,0.360995962418046,0.6265619022660269,0.01244213531592702,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.6265619022660269
num1,1,716,10.1,10100.0,4,th:0.260_samz:-7068,-7068,-8647,-752,0.8,0.2,80.0,20.0,0.2,0.3638947455415906,0.6182561817305771,0.01784907272783249,1.0000000000000002,2.220446049250313e-16,orthorhombic,0.6182561817305771
num1,1,716,10.1,10100.0,5,th:0.260_samz:-6542,-6542,-8647,-752,0.733375554148195,0.26662444585180495,73.3375554148195,26.662444585180495,0.26662444585180495,0.3374606841204419,0.6031298796882582,0.05940943619130002,1.0,0.0,orthorhombic,0.6031298796882582
num1,1,716,10.1,10100.0,6,th:0.260_samz:-6016,-6016,-8647,-752,0.6667511082963902,0.3332488917036099,66.67511082963901,33.32488917036099,0.3332488917036099,0.3013988835845205,0.5270730938005141,0.1715280226149654,1.0,0.0,orthorhombic,0.5270730938005141
num1,1,716,10.1,10100.0,7,th:0.260_samz:-5489,-5489,-8647,-752,0.6,0.4,60.0,40.0,0.4,0.2194680354733507,0.4475463387376897,0.3329856257889597,1.0,0.0,orthorhombic,0.4475463387376897
num1,1,716,10.1,10100.0,8,th:0.260_samz:-4963,-4963,-8647,-752,0.533375554148195,0.46662444585180496,53.337555414819505,46.662444585180495,0.46662444585180496,0.127424367717951,0.4627144899267939,0.4098611423552552,1.0000000000000002,2.220446049250313e-16,orthorhombic,0.4627144899267939
num1,1,716,10.1,10100.0,9,th:0.260_samz:-4436,-4436,-8647,-752,0.46662444585180496,0.533375554148195,46.662444585180495,53.337555414819505,0.533375554148195,0.06733191110137056,0.5236413133385509,0.4090267755600784,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.5236413133385509
num1,1,716,10.1,10100.0,10,th:0.260_samz:-3910,-3910,-8647,-752,0.4,0.6,40.0,60.0,0.6,0.02655644118293223,0.6094346439236502,0.3640089148934176,1.0,0.0,orthorhombic,0.6094346439236502
num1,1,716,10.1,10100.0,11,th:0.260_samz:-3383,-3383,-8647,-752,0.33324889170360983,0.6667511082963902,33.32488917036098,66.67511082963901,0.6667511082963902,0.008094919424670388,0.664952878266324,0.3269522023090057,1.0,0.0,orthorhombic,0.664952878266324
num1,1,716,10.1,10100.0,12,th:0.260_samz:-2857,-2857,-8647,-752,0.2666244458518049,0.7333755541481951,26.662444585180488,73.3375554148195,0.7333755541481951,0.002273707866266475,0.6465028966446417,0.3512233954890919,1.0,0.0,orthorhombic,0.6465028966446417
num1,1,716,10.1,10100.0,13,th:0.260_samz:-2331,-2331,-8647,-752,0.19999999999999996,0.8,19.999999999999996,80.0,0.8,0.0004930751089349177,0.6018353085032355,0.3976716163878294,0.9999999999999998,2.220446049250313e-16,orthorhombic,0.6018353085032355
num1,1,716,10.1,10100.0,14,th:0.260_samz:-1804,-1804,-8647,-752,0.13324889170360987,0.8667511082963901,13.324889170360986,86.67511082963901,0.8667511082963901,0.0001075813993045749,0.5037176408809321,0.4961747777197634,1.0,0.0,orthorhombic,0.5037176408809321
num1,1,716,10.1,10100.0,15,th:0.260_samz:-1278,-1278,-8647,-752,0.06662444585180494,0.9333755541481951,6.662444585180493,93.3375554148195,0.9333755541481951,2.291130060037525e-05,0.3854572903260049,0.6145197983733947,1.0,0.0,tetragonal,0.6145197983733947
num1,1,716,10.1,10100.0,16,th:0.260_samz:-752,-752,-8647,-752,0.0,1.0,0.0,100.0,1.0,2.582822278566967e-12,0.267387369595804,0.7326126304016133,1.0,0.0,tetragonal,0.7326126304016133
num2,2,716,7.6,7600.0,1,th:0.260_samz:-8247,-8247,-8247,-352,1.0,0.0,100.0,0.0,0.0,0.2456915001606628,0.6429936070770861,0.1113148927622512,1.0,0.0,orthorhombic,0.6429936070770861
num2,2,716,7.6,7600.0,2,th:0.260_samz:-7721,-7721,-8247,-352,0.9333755541481951,0.06662444585180494,93.3375554148195,6.662444585180493,0.06662444585180494,0.2365328803277957,0.6545588982952502,0.1089082213769543,1.0000000000000002,2.220446049250313e-16,orthorhombic,0.6545588982952502
num2,2,716,7.6,7600.0,3,th:0.260_samz:-7195,-7195,-8247,-352,0.8667511082963901,0.13324889170360987,86.67511082963901,13.324889170360986,0.13324889170360987,0.2446037699249844,0.6323702437293768,0.1230259863456389,1.0,0.0,orthorhombic,0.6323702437293768
num2,2,716,7.6,7600.0,4,th:0.260_samz:-6668,-6668,-8247,-352,0.8,0.2,80.0,20.0,0.2,0.2328660986425112,0.6154394291325516,0.1516944722249372,1.0,0.0,orthorhombic,0.6154394291325516
num2,2,716,7.6,7600.0,5,th:0.260_samz:-6142,-6142,-8247,-352,0.733375554148195,0.26662444585180495,73.3375554148195,26.662444585180495,0.26662444585180495,0.2150179941427606,0.5916906307631472,0.1932913750940921,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.5916906307631472
num2,2,716,7.6,7600.0,6,th:0.260_samz:-5616,-5616,-8247,-352,0.6667511082963902,0.3332488917036099,66.67511082963901,33.32488917036099,0.3332488917036099,0.1739742920065983,0.5729213159328949,0.2531043920605067,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.5729213159328949
num2,2,716,7.6,7600.0,7,th:0.260_samz:-5090,-5090,-8247,-352,0.6001266624445851,0.3998733375554148,60.012666244458515,39.987333755541485,0.3998733375554148,0.1138151451121921,0.5854563023550955,0.3007285525327124,1.0,0.0,orthorhombic,0.5854563023550955
